id,plate,well,nutrients,treatment,day,LM,SP,WB
47,H,5,low,SPWB,10,,67.04,42.689
61,K,1,low,SPWB,0,,61.232,46.674
61,K,1,low,SPWB,2,,57.189,44.712
61,K,1,low,SPWB,4,,57.189,44.712
61,K,1,low,SPWB,6,,69.5,48.253
61,K,1,low,SPWB,8,,66.721,40.899
61,K,1,low,SPWB,10,,69.684,37.688
64,K,4,high,SPWB,0,,57.431,77.637
64,K,4,high,SPWB,2,,65.046,69.978
64,K,4,high,SPWB,4,,65.046,69.978
64,K,4,high,SPWB,6,,133.33,218.324
64,K,4,high,SPWB,8,,183.808,255.088
64,K,4,high,SPWB,10,,228.02,275.795
75,M,3,low,SPWB,0,,62.347,72.924
75,M,3,low,SPWB,2,,75.402,66.876
75,M,3,low,SPWB,4,,75.402,66.876
75,M,3,low,SPWB,6,,92.839,63.623
75,M,3,low,SPWB,8,,96.587,51.082
75,M,3,low,SPWB,10,,90.938,45.671
78,M,6,high,SPWB,0,,50.753,67.381
78,M,6,high,SPWB,2,,73.409,80.062
78,M,6,high,SPWB,4,,73.409,80.062
78,M,6,high,SPWB,6,,173.305,217.135
78,M,6,high,SPWB,8,,220.741,250.477
78,M,6,high,SPWB,10,,309.435,256.149
92,P,2,high,SPWB,0,,49.888,47.891
92,P,2,high,SPWB,2,,64.288,74.371
92,P,2,high,SPWB,4,,64.288,74.371
92,P,2,high,SPWB,6,,179.028,191.699
92,P,2,high,SPWB,8,,257.981,215.07
92,P,2,high,SPWB,10,,342.124,241.394
95,P,5,low,SPWB,0,,60.18,48.405
95,P,5,low,SPWB,2,,81.748,66.102
95,P,5,low,SPWB,4,,81.748,66.102
95,P,5,low,SPWB,6,,107.513,41.996
95,P,5,low,SPWB,8,,116.68,35.72
95,P,5,low,SPWB,10,,119.549,25.789
7,B,1,high,WB,0,,,24.042
7,B,1,high,WB,2,,,53.94
7,B,1,high,WB,4,,,53.94
7,B,1,high,WB,6,,,191.422
7,B,1,high,WB,8,,,251.377
7,B,1,high,WB,10,,,292.96
10,B,4,low,WB,0,,,41.408
10,B,4,low,WB,2,,,63.862
10,B,4,low,WB,4,,,63.862
10,B,4,low,WB,6,,,63.989
10,B,4,low,WB,8,,,61.095
10,B,4,low,WB,10,,,51.444
21,D,3,high,WB,0,,,76.611
21,D,3,high,WB,2,,,116.066
21,D,3,high,WB,4,,,116.066
21,D,3,high,WB,6,,,341.817
21,D,3,high,WB,8,,,391.347
21,D,3,high,WB,10,,,374.507
24,D,6,low,WB,0,,,74.262
24,D,6,low,WB,2,,,100.844
24,D,6,low,WB,4,,,100.844
24,D,6,low,WB,6,,,102.943
24,D,6,low,WB,8,,,88.36
24,D,6,low,WB,10,,,68.032
38,G,2,low,WB,0,,,70.231
38,G,2,low,WB,2,,,97.372
38,G,2,low,WB,4,,,97.372
38,G,2,low,WB,6,,,87.545
38,G,2,low,WB,8,,,93.12
38,G,2,low,WB,10,,,81.842
41,G,5,high,WB,0,,,83.778
41,G,5,high,WB,2,,,122.68
41,G,5,high,WB,4,,,122.68
41,G,5,high,WB,6,,,327.044
41,G,5,high,WB,8,,,466.565
41,G,5,high,WB,10,,,514.448
55,J,1,high,WB,0,,,78.836
55,J,1,high,WB,2,,,84.304
55,J,1,high,WB,4,,,84.304
55,J,1,high,WB,6,,,283.68
55,J,1,high,WB,8,,,337.516
55,J,1,high,WB,10,,,410.219
58,J,4,low,WB,0,,,109.752
58,J,4,low,WB,2,,,99.836
58,J,4,low,WB,4,,,99.836
58,J,4,low,WB,6,,,87.143
58,J,4,low,WB,8,,,73.446
58,J,4,low,WB,10,,,68.624
69,L,3,high,WB,0,,,83.878
69,L,3,high,WB,2,,,90.245
69,L,3,high,WB,4,,,90.245
69,L,3,high,WB,6,,,290.788
69,L,3,high,WB,8,,,391.171
69,L,3,high,WB,10,,,488.132
72,L,6,low,WB,0,,,92.153
72,L,6,low,WB,2,,,89.128
72,L,6,low,WB,4,,,89.128
72,L,6,low,WB,6,,,101.253
72,L,6,low,WB,8,,,86.597
72,L,6,low,WB,10,,,81.835
86,O,2,low,WB,0,,,73.771
86,O,2,low,WB,2,,,79.923
86,O,2,low,WB,4,,,79.923
86,O,2,low,WB,6,,,66.877
86,O,2,low,WB,8,,,79.494
86,O,2,low,WB,10,,,62.883
89,O,5,high,WB,0,,,58.727
89,O,5,high,WB,2,,,90.807
89,O,5,high,WB,4,,,90.807
89,O,5,high,WB,6,,,223.276
89,O,5,high,WB,8,,,395.969
89,O,5,high,WB,10,,,423.779
