Plate,Well ,Nutrients,Treatment,area_LM_day00,area_SP_day00,area_WB_day00,area_TOT_day00,comp_LM_day00,comp_SP_day00,comp_WB_day00,area_LM_day02,area_SP_day02,area_WB_day02,area_TOT_day02,comp_LM_day02,comp_SP_day02,comp_WB_day02,area_LM_day04,area_SP_day04,area_WB_day04,area_TOT_day04,comp_LM_day04,comp_SP_day04,comp_WB_day04,area_LM_day06,area_SP_day06,area_WB_day06,area_TOT_day06,comp_LM_day06,comp_SP_day06,comp_WB_day06,area_LM_day08,area_SP_day08,area_WB_day08,area_TOT_day08,comp_LM_day08,comp_SP_day08,comp_WB_day08,area_LM_day10,area_SP_day10,area_WB_day10,area_TOT_day10,comp_LM_day10,comp_SP_day10,comp_WB_day10
G,4,high,SP,0,91.534,0,91.534,0,100,0,0,159.337,0,159.337,0,100,0,0,312.981,0,312.981,0,100,0,0,534.839,0,534.839,0,100,0,0,736.715,0,736.715,0,100,0,0,881.448,0,881.448,0,100,0
G,5,high,WB,0,0,83.778,83.778,0,0,100,0,0,122.68,122.68,0,0,100,0,0,234.37,234.37,0,0,100,0,0,327.044,327.044,0,0,100,0,0,466.565,466.565,0,0,100,0,0,514.448,514.448,0,0,100
G,6,high,LM & SP,32.559,70.005,0,102.564,31.74505675,68.25494325,0,59.316,112.103,0,171.419,34.602932,65.397068,0,94.842,124.197,0,219.039,43.29913851,56.70086149,0,140.636,195.326,0,335.962,41.86068663,58.13931337,0,184.105,265.788,0,449.893,40.92195255,59.07804745,0,238.128,338.245,0,576.373,41.31491239,58.68508761,0
H,1,high,LM & WB,30.911,0,35.689,66.6,46.41291291,0,53.58708709,47.476,0,50.837,98.313,48.29066349,0,51.70933651,90.328,0,109.366,199.694,45.23320681,0,54.76679319,146.143,0,151.192,297.335,49.15095767,0,50.84904233,224.538,0,189.439,413.977,54.23924518,0,45.76075482,278.726,0,178.241,456.967,60.99477643,0,39.00522357
H,2,high,SP & WB,0,44.035,33.285,77.32,0,56.95162959,43.04837041,0,53.873,48.059,101.932,0,52.85190127,47.14809873,0,84.721,91.905,176.626,0,47.96632432,52.03367568,0,130.755,146.389,277.144,0,47.17944462,52.82055538,0,208.866,232.619,441.485,0,47.30987463,52.69012537,0,287.546,266.659,554.205,0,51.884411,48.115589
H,3,high,LM & SP & WB,19.483,22.836,25.88,68.199,28.56786756,33.48436194,37.9477705,28.839,26.595,40.278,95.712,30.13101805,27.78648445,42.08249749,61.486,40.711,75.023,177.22,34.69472971,22.97201219,42.3332581,97.211,65.059,105.328,267.598,36.32725207,24.31221459,39.36053334,145.642,90.544,170.223,406.409,35.83631268,22.27903417,41.88465314,208.179,119.791,191.386,519.356,40.08406565,23.06529625,36.8506381
H,4,low,LM & WB,32.84,0,39.731,72.571,45.25223574,0,54.74776426,38.034,0,49.166,87.2,43.61697248,0,56.38302752,50.668,0,50.043,100.711,50.31029381,0,49.68970619,56.913,0,47.241,104.154,54.6431246,0,45.3568754,64.872,0,49.049,113.921,56.94472485,0,43.05527515,72.999,0,44.986,117.985,61.87142433,0,38.12857567
H,5,low,SP & WB,0,48.93,48.668,97.598,0,50.13422406,49.86577594,0,59.518,57.165,116.683,0,51.00828741,48.99171259,0,60.564,63.421,123.985,0,48.8478445,51.1521555,0,62.696,54.085,116.781,0,53.68681549,46.31318451,0,70.199,56.595,126.794,0,55.36460716,44.63539284,0,67.04,42.689,109.729,0,61.09597281,38.90402719
H,6,low,LM & SP & WB,15.702,38.946,41.234,95.882,16.3763793,40.61867712,43.00494358,22.235,43.353,62.316,127.904,17.38413185,33.89495246,48.72091569,30.244,38.19,53.906,122.34,24.7212686,31.21628249,44.06244891,26.758,47.794,46.642,121.194,22.07865076,39.43594567,38.48540357,34.159,50.17,54.21,138.539,24.65659489,36.21362938,39.12977573,38.632,43.418,37.711,119.761,32.25757968,36.2538723,31.48854802
I,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,2,low,LM,52.172,0,0,52.172,100,0,0,75.317,0,0,75.317,100,0,0,97.996,0,0,97.996,100,0,0,120.64,0,0,120.64,100,0,0,124.314,0,0,124.314,100,0,0,133.409,0,0,133.409,100,0,0
I,3,low,SP,0,66.557,0,66.557,0,100,0,0,82.92,0,82.92,0,100,0,0,102.073,0,102.073,0,100,0,0,109.825,0,109.825,0,100,0,0,112.255,0,112.255,0,100,0,0,121.388,0,121.388,0,100,0
I,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,5,high,LM,31.539,0,0,31.539,100,0,0,52.993,0,0,52.993,100,0,0,101.997,0,0,101.997,100,0,0,194.305,0,0,194.305,100,0,0,315.114,0,0,315.114,100,0,0,471.341,0,0,471.341,100,0,0
